Testing clue 1;answer1
Testing clue 2;answer2
Testing clue 3;answer3
Testing clue 4;answer4
Testing clue 5;answer5
Testing clue 6;answer6
;ablacja
;abrakadabra
;absolutorium
;absorbować
;abstrakcja
;adaptacja
;adapter
;adept
;adopcja
;aga
;agape
;agenda
;agent
;agitator
;aglomeracja
;agrafa
;agregat
;agresja
;akademia
;akademik
;akceleracja
;akcent
;akceptor
;akcja
;akcydens
;akolita
;akord
;aksamitka
;akt
;aktówka
;aktualizm
;aktywizm
;aktywność
;akumulacja
;akumulator
;alba
;album
;alembik
;alfa
;alimentacja
;alpaka
;amazonka
;ambona
;ambrozja
;amerykanka
;amfibia
;amonit
;amortyzacja
;amplifikacja
;anaglif
;analizator
;aneks
;antyk
;aparat
;apel
;aplikacja
;arabeska
;arenga
;argon
;argus
;arlekin
;artykuł
;as
;asocjacja
;aspekt
;aspiracja
;aspirant
;astragal
;atlas
;atonia
;atrybut
;aula
;aura
;aut
;autarkia
;autochton
;awizo
;baba
;badyl
;badylarz
;bagatela
;bagietka
;bakarat
;baksztag
;balans
;balast
;baldachim
;balerina
;balon
;balot
;balować
;balsa
;balsam
;bałwan
;bandaż
;banderola
;bank
;bankiet
;bar
;barchan
;bariera
;bark
;barszcz
;barwa
;basen
;bat
;batalion
;bateria
;baza
;bazylika
;bazyliszek
;bączek
;beczka
;bejca
;bela
;bełt
;bet
;bezpiecznik
;bęben
;białko
;bibliografia
;bida
;bieg
;biegun
;bijak
;biskwit
;bitnik
;blenda
;blizna
;blok
;blokada
;błotniarka
;bocznik
;bohater
;boisko
;bojka
;boks
;bolero
;bonifikata
;borować
;bosak
;boston
;brek
;brona
;brukowiec
;brzeźniak
;brzmienie
;buchta
;buczek
;bukować
;bunkier
;burta
;burzenie
;but
;butonierka
;byczek
;bylina
;cal
;calówka
;całostka
;całusek
;cap
;capstrzyk
;cechownia
;ceduła
;cedzak
;cekin
;celnik
;celownik
;cement
;cementacja
;cent
;centrować
;centuria
;cenzor
;cenzus
;cep
;cera
;cerber
;cerografia
;cewka
;cezura
;cęgi
;chała
;cham
;chaos
;charakternik
;chiton
;chłodnik
;chochla
;chromatyka
;chrust
;chryja
;chwast
;chwyt
;ciarki
;ciągarka
;cieciorka
;cieszynianka
;cięcie
;ciupa
;comber
;cug
;cukierniczka
;cukrzyk
;cyklop
;cylinder
;cymbał
;cyngiel
;cynik
;cyrkiel
;czajka
;czeczotka
;czerparka
;czoło
;czop
;czwórnik
;czynnik
;czyściec
;ćwik
;damka
;debiut
;defensywa
;deficyt
;deflacja
;deflektor
;deka
;deklinacja
;dekompresja
;dekret
;delfin
;delikwent
;delta
;demagog
;demiurg
;demonstracja
;denar
;dendryt
;dennik
;depilacja
;depresja
;deputat
;derywacja
;deskrypcja
;destrukt
;detal
;detektor
;determinacja
;detonacja
;detonować
;dewiacja
;dewiza
;dezintegracja
;diament
;dieta
;dłutować
;dobić
;dociąć
;docisk
;dodać
;dodatek
;dodusić
;dogmat
;dogmatyzm
;dojarka
;dokować
;dokrętka
;dokument
;dola
;dolman
;dolot
;dołek
;domena
;dominanta
;domino
;dominować
;domniemanie
;donica
;donosić
;dopiec
;doświadczenie
;dowcip
;dójka
;dół
;drachma
;draga
;dragon
;dramat
;drapacz
;drążek
;drewniak
;drewno
;drobiazg
;drobnica
;drożyć się
;druczek
;druh
;drużba
;dryf
;drylować
;drzewce
;dualizm
;duch
;dudek
;duet
;dur
;dwoić
;dwutonowy
;dybel
;dyktator
;dyktować
;dylemat
;dymek
;dymka
;dynamika
;dyscyplina
;dysk
;dyslokacja
;dysonans
;dyspozycja
;dystrybutor
;dystynkcja
;dziad
;działanie
;działka
;dziekan
;dziurawka
;echolokacja
;edytor
;efektor
;efemeryda
;egzegeta
;egzogeniczny
;egzotyk
;ekler
;ekonomia
;ekonomizer
;ekran
;ekscentryczność
;ekspedycja
;eksperyment
;eksploatacja
;ekspozycja
;ekspres
;ekstrakcja
;ekumena
;elegia
;elektron
;element
;elewacja
;elewator
;elipsa
;elita
;elitaryzm
;emanacja
;emisja
;energia
;entropia
;eon
;eparchia
;epigraf
;era
;eter
;etiuda
;ewolucja
;faktor
;fala
;falanga
;fałsz
;fanfara
;fantazja
;fantom
;fartuch
;fasować
;faza
;feniks
;ferie
;ferment
;fetysz
;fiala
;fibra
;figura
;filar
;filet
;finalista
;flader
;flądra
;flesz
;fliza
;flora
;fluid
;folia
;forma
;formalizm
;frankista
;frekwencja
;fuga
;funt
;furia
;fuzja
;gabaryt
;gala
;galeria
;galon
;gałąź
;ganek
;gang
;gara
;garda
;garnitur
;gazik
;gazówka
;gąsienica
;generalizacja
;generał
;geniusz
;giełda
;gig
;gigant
;gilza
;glej
;glinianka
;glon
;głownia
;golf
;goliat
;górka
;graba
;gracja
;gradacja
;gradzina
;grajcar
;gramatycznych; 10. w algebrze wielomian jednorodny
;granat
;graniak
;granulacja
;grot
;groteska
;gródź
;grzanka
;grzebień
;grzechotka
;grzęda
;grzywacz
;guzik
;gwałt
;hak
;hala
;hals
;harap
;harmonia
;hazuka
;hełm
;herbarz
;herkules
;heroina
;hetman
;hiacynt
;hieroglif
;hiperbola
;hipomania
;hol
;hora
;horyzont
;humoreska
;hybryda
;idealista
;identyfikacja
;identyfikator
;idylla
;iglak
;iglica
;iluminacja
;ilustracja
;impas
;implozja
;impuls
;indeks
;indukcja
;induktor
;infuła
;instytucja
;inwazja
;inwolucja
;irygacja
;iryzacja
;izolacja
;jabłecznik
;jabłko
;jaguar
;jałowcówka
;japonka
;jarzmo
;jasiek
;jaskółka
;jaszczur
;jatka
;jaz
;jądro
;jednotonowy
;jeż
;jęczmień
;język
;junkier
;juwenalia
;kabała
;kabel
;kabłąk
;kacerz
;kaczka
;kadencja
;kadet
;kadłub
;kadryl
;kaduk
;kaganiec
;kalafiorek
;kalka
;kałmuk
;kamera
;kamizelka
;kant
;kapa
;kapciuszek
